WordList 1
英文,中文
exterior,外部的；外面的
terrific,极好的；非常的；极度的
thrill,v.使激动；adj.使人激动的事
allegiance,n.拥护；忠诚
triumph,n.胜利;v.得胜
hostage ,n.人质
loaf,n.一条面包;v.闲逛
applicable,能应用的
contrast,使与...形成对比
hono(u)rable,光荣的
appendix,附录；附属物
inflation,通货膨胀
substantial,实质的;真实的;富裕的
hasty,匆忙的
fraction,碎片
denote,v.表示;意味着
startle,惊吓;使吃惊
viable,切实可行的;可实施的
concede,退让;让步;给予
jewel(le)ry,珠宝
dictate,口述，(使)听写；命令
lame,跛的；有缺陷的
exhaust,使筋疲力尽
stiff,硬的，僵直的；拘谨的
pinch,微量;捏，掐
remnant,残余物；零头布料
torrent,激流；山洪
crisp,易碎的
dealer,商人;贩子
zeal,热情;热忱
rthythm,节奏;韵律
educate,教育;培养
overlook,漏看;忽略
kidnap,绑架
propagada,宣传
prescribe,指示;规定;开药方
cape,斗篷
WordList 2
英文,中文
neglect,忽视;疏忽
eliminate,消除;排除
upright,垂直的;直立的
commemorate,纪念;庆祝
reproach,责备;指责
dilute,vt.冲淡;adj.冲淡的
sane,理智的;心智健全的
lease,n.租约，租期;vt.出租
tentative,尝试的，试验性的;犹豫的
seam,缝
manipulate,操作;控制
accuracy,准确
descendant,子孙;后代
sting,刺痛
outbreak,爆发
phrase,短语;词语
brochure,小册子
exclude,拒绝;把...排除在外
brutal,残忍的;严峻的
howl,嗥叫
rigorous,严密的;严厉的
solidarity,团结;一致
slaughter,屠杀;杀戮
pit,坑，陷阱;煤矿
decay,使腐朽;衰退
grand,盛大的
booth,电话亭
beware,当心;谨防
occasion,场合;时机
nursery,托儿所
workship,礼拜仪式;崇拜
dense,浓厚的，密集的
revive,恢复;使复苏
disguise,假装，伪装
deny,否认;拒绝
huddle,聚集在一起
cellar,地窖
namely,即，也就是
undertake,承担，担任
instrumental,起作用的，有帮助的
converge,聚集，集中，（思想）趋近
WordList 3
英文,中文
fabulous,寓言式的;极为巨大的
constant,持续的，不断的
prosperity,繁荣，兴旺
siege,包围;围攻
conduct,行为，举动；引导，实施
lever,杆，杠杆
blend,n.混合物;v.使混合
ample,充分的，富裕的
prside,主持
psychology,心理学
rash,疹;鲁莽的;一连串不快的事情
radical,基本的，重要的;激进的
inventory,详细目录;存货清单
pillar,柱;台柱
grip,紧握;抓紧
antenna,天线
sip,啜饮，抿
devise,设计，想出，发明
diffuse,扩散;传播;舒缓;冗长的
negligible,可以忽略的;微不足道的
dine,吃饭
gaol/jail,监狱，拘留所
invasion,侵入，侵略
precedent,先例，范例
integrate,(使)成为一体，合并
cosy/cozy,温暖而舒适的
boundary,分界线
peep,偷看，窥视
halt,止步，停止
isle,小岛
intrigue,密谋;引起极大兴趣;阴谋
stoop,弯腰
cater,迎合
inertia,不活动，惰性
