facilitate,促进，使便利
affair,事情;政治事务
provision,提供，供给;准备;条款
confer,商议;授予，赋予
inference,推论;结论;推理
eliminate,消除，排除，淘汰
preliminary,初步的，初步行动;预赛
superflous,多余的，不必要的
superior,更好的;优秀的;上级的
supervise,监督;管理
proposal,提议;建议
provoke,激怒;激起，引发，引起
upgrade,使升级;提拔，改善
congress,代表大会;国会
aggresive,挑衅的，积极进取的
progressive,进步的;先进的;稳定的
procedure,程序，步骤
expouse,暴露，接触;揭露;曝光
peculiar,奇怪的;特有的;特殊的;不适的
initiative,倡议;新方案;主动性
cognitive,认知的;认识的
episode,片段;一段经历;事件
intellectual,智力的;知识分子
reliable,可靠的;可信赖的;确凿的
elite,精英;出类拔萃
transaction,交易
relevant,相关的;有意义的
relieve,减轻;缓解;解除
manner,方式;方法;举止
eligible,有资格的;合格的;合适的
plausible,貌似合理的;花言巧语的
comply,遵从;服从
virtue,美德;优点
withdraw,撤回，撤离;提，取;收回，撤销
contemporary,当代的;同一时代的
therepy,治疗;疗法
opponent,对手，竞争者;反对者
inevitable,不可避免的;必然发生的
insight,洞察力;深刻见解
precede,发生在...之前，先于
expenditure,花费，开支;耗费
pension,养老金;退休金;抚恤金
compensate,补偿，弥补;赔偿
continent,大陆;洲
pursue,追求;从事;追踪;贯彻
subsequent,随后的，后来的
pursuit,追求；寻找;事业
executive,执行的;高级的;管理者
deliver,传送，递送;发表
depict,描绘，描画;描述
contradict,驳斥，反驳;相抵触，相矛盾
controversy,争论，辩论
subsidy,补贴，补助金
subtle,细微的，微妙的;巧妙的
constituent,成分;选民;组成的
prudent,谨慎的，慎重的;精明的
apparent,明显的，显而易见的;貌似的
negotiate,谈判;协商
realistic,现实的;实事求是的
defendant,被告
monopoly,垄断;垄断企业
vivid,生动的;逼真的;清晰的;鲜艳的
evolve,逐渐形成，逐步发展;进化;进化形成
crisis,危机;危急关头
primitive,原始的;低等的;落后的
priority,优先;优先事项
stimulate,刺激;激发;激励
distinction,差别，区别;区分;优秀;荣誉
instinct,本能;直觉
domestic,国内的;家庭的;家用的
gene,基因
evade,逃避;规避;逃脱
elaborate,精心制作的;复杂的;vt.精心制作
exaggerate,夸大
exert,施加(影响、压力等);运用;努力
tuition,学费;教学;讲授
auction,拍卖
illusion,幻想;错觉
persuasion,说服;劝说;信仰
innovation,创新;革新;新思想
administration,管理;行政;执行;政府
sphere,领域;界，圈子;球体;范围
uneasy,不安的;不安稳的;不稳定的;矛盾的
sensitive,敏感的;灵敏的;体贴的，体恤的
nonsense,谬论;胡言乱语;冒失;毫无意义的话
sentiment,情绪;观点;眷恋
resent,怨恨;眷恋
undergo,经历;经受
undermine,逐渐削弱;损害;破坏
council,委员会;地方议会
convey,传达，表达;运输;转让
contempt,轻视，鄙视;不顾
federal,联邦的，联邦制的;联邦政府的
radical,根本的，彻底的;激进的;激进分子
crucial,至关重要的，关键性的
rival,竞争对手;比得上
vague,含糊的，模糊的
prosperity,繁荣
monarch,君主
monetary,货币的
revenue,收入;税收
convention,习俗;惯例;大会;公约
invention,发明;创造力
sector,行业;部门;领域;区域
prevalent,普遍的;盛行的
resolve,解决;决定;决心
propel,推动;驱动;驱使;推进
appeal,申诉;呼吁;上诉
impulse,冲动;推动力
abundant,大量的;充足的;丰富的
acquaintance,熟人;认识;了解
constitute,构成;被视为
constitution,宪法;构成
spouse,配偶
speculate,推测;投机
prospect,希望;前程;设想;勘探
prospective,观点;角度
anticipate,预料;预计，预见
principle,道德原则;原则
principal,主要的;校长
concept,概念;观念
perceive,注意到;察觉到
